2016_taxon_oid,Name,Classification,Root-NotRoot,Taxonomic_Group,IMG_Phylum,IMG_Class,IMG_Order,IMG_Family,IMG_Genus,Isolation_Site,taxon_oid_is_same,taxon_oid_is_modified_(either_updated_or_deleted),taxon_oid_was_updated,taxon_oid_was_deleted,updated_taxon_oid_if_applicable,current_taxon_oid,Domain,Sequencing_Status,Study_Name,Genome_Name_/_Sample_Name,Sequencing_Center,IMG_Genome_ID_,Phylum,Class,Order,Family,Genus,Species,NCBI_Taxon_ID,Strain,NCBI_Assembly_Accession,Temperature_Range,Type_Strain,Chlorophyll_Concentration,Habitat,Isolation,Salinity,Sample_Collection_Temperature,Genome_Size___*_assembled,Gene_Count___*_assembled,GC___*_assembled,COG_Count___*_assembled,COG_%___*_assembled,KOG_Count_,KOG_%_,Pfam_Count___*_assembled,Pfam_%___*_assembled,Enzyme_Count___*_assembled,Enzyme_%___*_assembled,KEGG_Count___*_assembled,KEGG_%___*_assembled,Horizontally_Transferred_Count,Horizontally_Transferred_%
2593339129,Acinetobacter_sp._UNC434CL69Tsu2S25,PA,RA,Acinetobacter,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,NC,1,0,0,0,,2593339129,Bacteria,Permanent Draft,Plant associated metagenomes--Microbial community diversity and host control of community assembly across model and emerging plant ecological genomics systems.,Acinetobacter sp. UNC434CL69Tsu2S25,DOE Joint Genome Institute (JGI),2593339129,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter sp. UNC434CL69Tsu2S25,1502768,UNC434CL69Tsu2S25,GCA_900110525.1,,Unknown,,,,,,4093819,4049,38.77,2604,64.31,837,20.67,3201,79.06,1127,27.83,1143,28.23,2,0.05
2558860101,Acinetobacter_sp._UNC436CL71CviS28,PA,RA,Acinetobacter,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,NC,1,0,0,0,,2558860101,Bacteria,Permanent Draft,Plant associated metagenomes--Microbial community diversity and host control of community assembly across model and emerging plant ecological genomics systems.,Acinetobacter sp. UNC436CL71CviS28,DOE Joint Genome Institute (JGI),2558860101,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter sp. UNC436CL71CviS28,1380368,UNC436CL71CviS28,GCA_000620525.1,,Unknown,,,,,,3226563,3159,41.59,2070,65.53,713,22.57,2499,79.11,966,30.58,978,30.96,6,0.19
2582581295,Acinetobacter_calcoaceticus_WP19,PA,PA,Acinetobacter,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Populus,1,0,0,0,,2582581295,Bacteria,Permanent Draft,"Populus root and rhizosphere microbial communities from Tennessee, USA",Acinetobacter pittii WP19,DOE Joint Genome Institute (JGI),2582581295,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter pittii,48296,WP19,GCA_000746375.1,,Unknown,,,Populus stem endosphere,,,3951709,3833,38.73,2565,66.92,841,21.94,3079,80.33,1104,28.8,1126,29.38,2,0.05
2615840642,Acinetobacter_sp._YR461,PA,PA,Acinetobacter,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Populus,1,0,0,0,,2615840642,Bacteria,Permanent Draft,"Populus root and rhizosphere microbial communities from Tennessee, USA",Acinetobacter sp. YR461,DOE Joint Genome Institute (JGI),2615840642,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter sp. yr461,1761742,YR461,GCA_900110445.1,,Unknown,,,,,,3959766,3798,38.63,2631,69.27,854,22.49,3073,80.91,1102,29.02,1133,29.83,13,0.34
2579778587,Acinetobacter_baumanii_BIDMC_56,NPA,NPA,Acinetobacter,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Unknown,1,0,0,0,,2579778587,Bacteria,Permanent Draft,Carbapenem Resistance,Acinetobacter baumanii BIDMC 56,Broad Institute,2579778587,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,1439316,BIDMC 56,GCA_000692095.1,,Unknown,,,Human urine,,,3929582,3772,38.95,2565,68,842,22.32,3055,80.99,1100,29.16,1123,29.77,1,0.03
2579779101,Acinetobacter_baumanii_BIDMC_57,NPA,NPA,Acinetobacter,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Unknown,1,0,0,0,,2579779101,Bacteria,Permanent Draft,Carbapenem Resistance,Acinetobacter nosocomialis BIDMC 57,Broad Institute,2579779101,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter nosocomialis,106654,BIDMC 57,GCA_000694975.1,,Unknown,,,Bronchoalveolar lavage,,,4094790,3963,38.83,2670,67.37,860,21.7,3206,80.9,1111,28.03,1116,28.16,2,0.05
2565956862,Acinetobacter_baumannii_1000160,NPA,NPA,Acinetobacter,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Unknown,1,0,0,0,,2565956862,Bacteria,Permanent Draft,Comparative genomics and transcriptomics to identify genetic mechanisms underlying the emergence of carbapenem resistant Acinetobacter baumannii (CRAb),Acinetobacter sp. 1000160,University of Maryland School of Medicine,2565956862,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter sp. 1000160,1310800,1000160,GCA_000588715,,Unknown,,,,,,3984765,3921,42.88,2485,63.38,813,20.73,2990,76.26,1043,26.6,1042,26.57,1,0.03
2565956863,Acinetobacter_baumannii_1007214,NPA,NPA,Acinetobacter,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Unknown,1,0,0,0,,2565956863,Bacteria,Permanent Draft,Comparative genomics and transcriptomics to identify genetic mechanisms underlying the emergence of carbapenem resistant Acinetobacter baumannii (CRAb),Acinetobacter baumannii 1007214,University of Maryland School of Medicine,2565956863,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,1310784,1007214,GCA_000588675.1,,Unknown,,,sputum,,,3950092,3914,38.94,2522,64.44,838,21.41,3044,77.77,1100,28.1,1117,28.54,1,0.03
2565956864,Acinetobacter_baumannii_1022959,NPA,NPA,Acinetobacter,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Unknown,1,0,0,0,,2565956864,Bacteria,Permanent Draft,Comparative genomics and transcriptomics to identify genetic mechanisms underlying the emergence of carbapenem resistant Acinetobacter baumannii (CRAb),Acinetobacter baumannii 1022959,University of Maryland School of Medicine,2565956864,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,1310751,1022959,GCA_000584735.1,,Unknown,,,sputum,,,4150104,4216,39.1,2569,60.93,846,20.07,3274,77.66,1109,26.3,1141,27.06,1,0.02
2565956865,Acinetobacter_baumannii_1031433,NPA,NPA,Acinetobacter,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Unknown,1,0,0,0,,2565956865,Bacteria,Permanent Draft,Comparative genomics and transcriptomics to identify genetic mechanisms underlying the emergence of carbapenem resistant Acinetobacter baumannii (CRAb),Acinetobacter baumannii 1031433,University of Maryland School of Medicine,2565956865,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,1310586,1031433,GCA_000580295.1,,Unknown,,,perirectal,,,4025279,4116,38.87,2569,62.41,849,20.63,3165,76.9,1104,26.82,1131,27.48,1,0.02
2565956866,Acinetobacter_baumannii_1032241,NPA,NPA,Acinetobacter,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Unknown,1,0,0,0,,2565956866,Bacteria,Permanent Draft,Comparative genomics and transcriptomics to identify genetic mechanisms underlying the emergence of carbapenem resistant Acinetobacter baumannii (CRAb),Acinetobacter baumannii 1032241,University of Maryland School of Medicine,2565956866,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,1310571,1032241,GCA_000580455.1,,Unknown,,,perirectal,,,4030913,4017,39.06,2569,63.95,846,21.06,3105,77.3,1104,27.48,1121,27.91,1,0.02
2565956867,Acinetobacter_baumannii_1035119,NPA,NPA,Acinetobacter,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Unknown,1,0,0,0,,2565956867,Bacteria,Permanent Draft,Comparative genomics and transcriptomics to identify genetic mechanisms underlying the emergence of carbapenem resistant Acinetobacter baumannii (CRAb),Acinetobacter baumannii 1035119,University of Maryland School of Medicine,2565956867,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,1310622,1035119,GCA_000580815.1,,Unknown,,,perirectal,,,3928666,3807,39.05,2581,67.8,871,22.88,3023,79.41,1109,29.13,1136,29.84,17,0.45
2565956869,Acinetobacter_baumannii_1039621,NPA,NPA,Acinetobacter,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Unknown,1,0,0,0,,2565956869,Bacteria,Permanent Draft,Comparative genomics and transcriptomics to identify genetic mechanisms underlying the emergence of carbapenem resistant Acinetobacter baumannii (CRAb),Acinetobacter baumannii 1039621,University of Maryland School of Medicine,2565956869,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,1310592,1039621,GCA_000580435,,Unknown,,,perirectal,,,3979928,3903,39.05,2557,65.51,844,21.62,3022,77.43,1101,28.21,1121,28.72,1,0.03
2565956870,Acinetobacter_baumannii_1040094,NPA,NPA,Acinetobacter,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Unknown,1,0,0,0,,2565956870,Bacteria,Permanent Draft,Comparative genomics and transcriptomics to identify genetic mechanisms underlying the emergence of carbapenem resistant Acinetobacter baumannii (CRAb),Acinetobacter baumannii 1040094,University of Maryland School of Medicine,2565956870,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,1310590,1040094,GCA_000580255.1,,Unknown,,,perirectal,,,3975156,3887,39.05,2561,65.89,846,21.76,3009,77.41,1101,28.33,1120,28.81,1,0.03
2565956871,Acinetobacter_baumannii_1042969-1265,NPA,NPA,Acinetobacter,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Unknown,1,0,0,0,,2565956871,Bacteria,Permanent Draft,Comparative genomics and transcriptomics to identify genetic mechanisms underlying the emergence of carbapenem resistant Acinetobacter baumannii (CRAb),Acinetobacter baumannii 1042969-1265,University of Maryland School of Medicine,2565956871,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,1310574,1042969-1265,GCA_000580235.1,,Unknown,,,perirectal,,,4071205,4131,39.19,2559,61.95,849,20.55,3144,76.11,1110,26.87,1143,27.67,1,0.02
2565956872,Acinetobacter_baumannii_1043794,NPA,NPA,Acinetobacter,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Unknown,1,0,0,0,,2565956872,Bacteria,Permanent Draft,Comparative genomics and transcriptomics to identify genetic mechanisms underlying the emergence of carbapenem resistant Acinetobacter baumannii (CRAb),Acinetobacter baumannii 1043794,University of Maryland School of Medicine,2565956872,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,1310564,1043794,GCA_000580415.1,,Unknown,,,perirectal,,,4009660,3872,39.07,2558,66.06,842,21.75,3034,78.36,1109,28.64,1125,29.05,0,0
2565956873,Acinetobacter_baumannii_1043903,NPA,NPA,Acinetobacter,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Unknown,1,0,0,0,,2565956873,Bacteria,Permanent Draft,Comparative genomics and transcriptomics to identify genetic mechanisms underlying the emergence of carbapenem resistant Acinetobacter baumannii (CRAb),Acinetobacter baumannii 1043903,University of Maryland School of Medicine,2565956873,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,1310569,1043903,GCA_000580215.1,,Unknown,,,perirectal,,,4160258,4328,38.86,2586,59.75,841,19.43,3242,74.91,1112,25.69,1140,26.34,1,0.02
2565956874,Acinetobacter_baumannii_1045092,NPA,NPA,Acinetobacter,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Unknown,1,0,0,0,,2565956874,Bacteria,Permanent Draft,Comparative genomics and transcriptomics to identify genetic mechanisms underlying the emergence of carbapenem resistant Acinetobacter baumannii (CRAb),Acinetobacter baumannii 1045092,University of Maryland School of Medicine,2565956874,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,1310739,1045092,GCA_000584115.1,,Unknown,,,sputum,,,4104548,4139,39.18,2559,61.83,842,20.34,3142,75.91,1103,26.65,1131,27.33,1,0.02
2565956875,Acinetobacter_baumannii_1046051,NPA,NPA,Acinetobacter,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Unknown,1,0,0,0,,2565956875,Bacteria,Permanent Draft,Comparative genomics and transcriptomics to identify genetic mechanisms underlying the emergence of carbapenem resistant Acinetobacter baumannii (CRAb),Acinetobacter baumannii 1046051,University of Maryland School of Medicine,2565956875,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,1310570,1046051,GCA_000580195.1,,Unknown,,,perirectal,,,4124032,4202,39.14,2602,61.92,858,20.42,3161,75.23,1130,26.89,1152,27.42,0,0
2565956876,Acinetobacter_baumannii_1046674,NPA,NPA,Acinetobacter,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Unknown,1,0,0,0,,2565956876,Bacteria,Permanent Draft,Comparative genomics and transcriptomics to identify genetic mechanisms underlying the emergence of carbapenem resistant Acinetobacter baumannii (CRAb),Acinetobacter baumannii 1046674,University of Maryland School of Medicine,2565956876,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,1310567,1046674,GCA_000580395.1,,Unknown,,,perirectal,,,3993566,4115,38.91,2506,60.9,818,19.88,3103,75.41,1080,26.25,1107,26.9,3,0.07
2565956877,Acinetobacter_baumannii_1051176,NPA,NPA,Acinetobacter,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Unknown,1,0,0,0,,2565956877,Bacteria,Permanent Draft,Comparative genomics and transcriptomics to identify genetic mechanisms underlying the emergence of carbapenem resistant Acinetobacter baumannii (CRAb),Acinetobacter baumannii 1051176,University of Maryland School of Medicine,2565956877,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,1310583,1051176,GCA_000580375.1,,Unknown,,,perirectal,,,3859137,3794,39.08,2532,66.74,840,22.14,2992,78.86,1095,28.86,1118,29.47,0,0
2565956878,Acinetobacter_baumannii_1051830,NPA,NPA,Acinetobacter,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Unknown,1,0,0,0,,2565956878,Bacteria,Permanent Draft,Comparative genomics and transcriptomics to identify genetic mechanisms underlying the emergence of carbapenem resistant Acinetobacter baumannii (CRAb),Acinetobacter baumannii 1051830,University of Maryland School of Medicine,2565956878,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,1310585,1051830,GCA_000580175,,Unknown,,,perirectal,,,3892203,4008,38.94,2470,61.63,802,20.01,3099,77.32,1068,26.65,1096,27.35,1,0.02
2565956879,Acinetobacter_baumannii_10519,NPA,NPA,Acinetobacter,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Unknown,1,0,0,0,,2565956879,Bacteria,Permanent Draft,Comparative genomics and transcriptomics to identify genetic mechanisms underlying the emergence of carbapenem resistant Acinetobacter baumannii (CRAb),Acinetobacter baumannii 10519,University of Maryland School of Medicine,2565956879,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,1310749,10519,GCA_000584075.1,,Unknown,,,sputum,,,3998893,4011,39.28,2541,63.35,842,20.99,3108,77.49,1108,27.62,1141,28.45,1,0.02
2565956880,Acinetobacter_baumannii_1058283,NPA,NPA,Acinetobacter,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Unknown,1,0,0,0,,2565956880,Bacteria,Permanent Draft,Comparative genomics and transcriptomics to identify genetic mechanisms underlying the emergence of carbapenem resistant Acinetobacter baumannii (CRAb),Acinetobacter baumannii 1058283,University of Maryland School of Medicine,2565956880,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,1310771,1058283,GCA_000588075.1,,Unknown,,,sputum,,,4138463,4112,39.03,2573,62.57,845,20.55,3129,76.09,1109,26.97,1121,27.26,1,0.02
2565956881,Acinetobacter_baumannii_1062314,NPA,NPA,Acinetobacter,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Unknown,1,0,0,0,,2565956881,Bacteria,Permanent Draft,Comparative genomics and transcriptomics to identify genetic mechanisms underlying the emergence of carbapenem resistant Acinetobacter baumannii (CRAb),Acinetobacter baumannii 1062314,University of Maryland School of Medicine,2565956881,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,1310725,1062314,GCA_000584715.1,,Unknown,,,sputum,,,4043847,3922,38.96,2601,66.32,851,21.7,3082,78.58,1123,28.63,1146,29.22,6,0.15
2565956882,Acinetobacter_baumannii_1064293_45,NPA,NPA,Acinetobacter,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Unknown,1,0,0,0,,2565956882,Bacteria,Permanent Draft,Comparative genomics and transcriptomics to identify genetic mechanisms underlying the emergence of carbapenem resistant Acinetobacter baumannii (CRAb),Acinetobacter baumannii 1064293_45,University of Maryland School of Medicine,2565956882,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,1310750,1064293_45,GCA_000584695.1,,Unknown,,,sputum,,,3924133,3876,39.05,2505,64.63,829,21.39,3030,78.17,1111,28.66,1127,29.08,0,0
2565956883,Acinetobacter_baumannii_1075025,NPA,NPA,Acinetobacter,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Unknown,1,0,0,0,,2565956883,Bacteria,Permanent Draft,Comparative genomics and transcriptomics to identify genetic mechanisms underlying the emergence of carbapenem resistant Acinetobacter baumannii (CRAb),Acinetobacter baumannii 1075025,University of Maryland School of Medicine,2565956883,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,1310596,1075025,GCA_000580155.1,,Unknown,,,perirectal,,,3924482,3899,39.03,2551,65.43,843,21.62,3047,78.15,1104,28.31,1117,28.65,4,0.1
2565956884,Acinetobacter_baumannii_1095464,NPA,NPA,Acinetobacter,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Unknown,1,0,0,0,,2565956884,Bacteria,Permanent Draft,Comparative genomics and transcriptomics to identify genetic mechanisms underlying the emergence of carbapenem resistant Acinetobacter baumannii (CRAb),Acinetobacter baumannii 1095464,University of Maryland School of Medicine,2565956884,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,1310747,1095464,GCA_000584675.1,,Unknown,,,sputum,,,3975969,4005,39,2530,63.17,834,20.82,3092,77.2,1093,27.29,1119,27.94,1,0.02
2565956885,Acinetobacter_baumannii_1096934,NPA,NPA,Acinetobacter,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Unknown,1,0,0,0,,2565956885,Bacteria,Permanent Draft,Comparative genomics and transcriptomics to identify genetic mechanisms underlying the emergence of carbapenem resistant Acinetobacter baumannii (CRAb),Acinetobacter baumannii 1096934,University of Maryland School of Medicine,2565956885,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,1310657,1096934,GCA_000581755.1,,Unknown,,,perirectal,,,4330037,4358,39.01,2699,61.93,873,20.03,3338,76.59,1149,26.37,1179,27.05,0,0
2565956887,Acinetobacter_baumannii_110912,NPA,NPA,Acinetobacter,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Unknown,1,0,0,0,,2565956887,Bacteria,Permanent Draft,Comparative genomics and transcriptomics to identify genetic mechanisms underlying the emergence of carbapenem resistant Acinetobacter baumannii (CRAb),Acinetobacter baumannii 110912,University of Maryland School of Medicine,2565956887,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,1310648,110912,GCA_000580495,,Unknown,,,,,,3953404,3841,38.86,2565,66.78,850,22.13,3041,79.17,1109,28.87,1123,29.24,0,0
